Avoid use of this file, it is purely an example format of the deck.txt data layout

1 1      (Ace of Hearts)
1 2      (2 of Hearts)
1 3      (3 of Hearts)
1 4      (4 of Hearts)
1 5      (5 of Hearts)
1 6      (6 of Hearts)
1 7      (7 of Hearts)
1 8      (8 of Hearts)
1 9      (9 of Hearts)
1 10     (10 of Hearts)
1 Jack   (Jack of Hearts)
1 Queen  (Queen of Hearts)
1 King   (King of Hearts)
2 1      (Ace of Diamonds)
2 2      (2 of Diamonds)
2 3      (3 of Diamonds)
2 4      (4 of Diamonds)
2 5      (5 of Diamonds)
2 6      (6 of Diamonds)
2 7      (7 of Diamonds)
2 8      (8 of Diamonds)
2 9      (9 of Diamonds)
2 10     (10 of Diamonds)
2 Jack   (Jack of Diamonds)
2 Queen  (Queen of Diamonds)
2 King   (King of Diamonds)
3 1      (Ace of Spades)
3 2      (2 of Spades)
3 3      (3 of Spades)
3 4      (4 of Spades)
3 5      (5 of Spades)
3 6      (6 of Spades)
3 7      (7 of Spades)
3 8      (8 of Spades)
3 9      (9 of Spades)
3 10      (10 of Spades)
3 Jack   (Jack of Spades)
3 Queen  (Queen of Spades)
3 King   (King of Spades)
4 1      (Ace of Clubs)
4 2      (2 of Clubs)
4 3      (3 of Clubs)
4 4      (4 of Clubs)
4 5      (5 of Clubs)
4 6      (6 of Clubs)
4 7      (7 of Clubs)
4 8      (8 of Clubs)
4 9      (9 of Clubs)
4 10     (10 of Clubs)
4 Jack   (Jack of Clubs)
4 Queen  (Queen of Clubs)
4 King   (King of Clubs)
